"id";"bidding_table_titles_list";"bidding_table_items_list"
925;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|投标保证金（元）|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252228.jhtml|0002200000067358|1|2020|001|2020|68|68|自合同签订的服务起始日期至|广东电网有限责任公司湛江供电局|10000|100|"
926;"网页链接|项目编号|序号|标的名称|标包编号|标段名称|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200252229.jhtml|0002200000068459|1|标|1|包|2020|曲靖、昭通、版纳供电局|500|40000|"
927;"网页链接|项目编号|序号|标段名称|标包|预计采购金额(万元)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252166.jhtml|0002200000067524|1|茂名供电局年35kV及以上主网技改、修理项目以及其它电压等级监理（B2类项目）框架招标|茂名供电局年35kV及以上主网技改、修理项目以及其它电压等级监理（B2类项目）框架招标|300|200|本项目不收取"
928;"网页链接|项目编号|序号|项目名称|标段名称|建设单位|预计采购金额(万元)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252171.jhtml|0002200000067431|1|阳江供电局2020年生产场所消防设施维护、生产场所鼠虫防治、空调检修维保框架招标|阳江供电局2020年生产场所消防设施维护框架招标|广东电网有限责任公司阳江供电局|200|200|/"
929;"网页链接|项目编号|标的序号|标的名称|分包名称|概算金额(万元)|最高限价( 万元)|标包号|最大中标包数|工期|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200252189.jhtml|0002200000068344|1|广东电网有限责任公司应急及检修管理中心购置水陆两栖全地形车（应急装备）|广东电网有限责任公司应急及检修管理中心购置水陆两栖全地形车（应急装备）|140|140（70万元/台）|1|/|/|200|/|"
930;"网页链接|项目编号|标的序号|标的名称|分包名称|最高限价(万元)|分包序号|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200252174.jhtml|0002200000067517|1|输电线路便携式激光清障仪|输电线路便携式激光清障仪|225|1|200|本项目不收取投标保证金|"
931;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高投标费率（|工期|项目建设单位|招标文件收取费用（元）|保证金（元）";"https://www.bidding.csg.cn//zbgg/1200252191.jhtml|0002200000068209|1|2020|1|2020|232.6|100|以签定合同时间为准|东莞供电局|200|不收取"
932;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额(万元)|最高限价( 万元)|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金(万元)|备注";"https://www.bidding.csg.cn//zbgg/1200252175.jhtml|0002200000066495|1|220kV高压并联电抗器|220kV高压并联电抗器|1702.8|1702.8|1|/|/|500|10|"
933;"网页链接|项目编号|标的序号|标的名称|分包名称|最高限价(万元)|分包序号|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200252195.jhtml|0002200000067530|1|新能源测试设备|新能源测试设备|200|1|200|本项目不收取投标保证金|"
934;"网页链接|项目编号|标的序号|标的名称|分包名称|最高限价(|分包序号|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200252198.jhtml|0002200000067538|1|电池性能测试装置|电池性能测试装置|280.3|1|200|本项目不收取投标保证金|"
935;"网页链接|项目编号|序号|标段名称|建设单位|发包预算价(万元)|最高投标费率(%)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252179.jhtml|0002200000067068|1|清远供电局2020年输电线路巡线便道、汽车运输便道日常维修|广东电网有限责任公司清远供电局|2100|100|500|无"
936;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额(万元)|最高限价(万元)|招标文件收取费用（元）|保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252151.jhtml|0002200000067876|1|云浮供电局本部、变电、云城、云安食堂承包服务(含食材采购)|01|云浮供电局本部、变电、云城、云安食堂承包服务(含食材采购)|1340|1340|500|100000|"
937;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额(万元)|最高限价(万元)|招标文件收取费用（元）|保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252131.jhtml|0002200000067458|1|广东电网有限责任公司云浮供电局2020年特种车辆检修、维保框架招标|01|广东电网有限责任公司云浮供电局2020年特种车辆检修、维保框架招标|50|/|100|10000|"
938;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额(万元)|最高限价(万元)|招标文件收取费用（元）|保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252153.jhtml|0002200000066985|1|云浮供电局2020年度500kV主网技改、修理项目，以及自动化等主站系统、通信工程等主网技改、修理项目（含抢修）可研编制、勘察设计（B2类项目）框架招标|01|云浮供电局2020年度500kV主网技改、修理项目，以及自动化等主站系统、通信工程等主网技改、修理项目（含抢修）可研编制、勘察设计（B2类项目）框架招标|250|/|200|10000|"
939;"网页链接|项目编号|序号|标段名称|标段范围|预计金额(万元)|最高投标费率(%)|工期|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252137.jhtml|0002200000066720|1|广东电网有限责任公司湛江供电局变电管理所2020年设备构架日常维修项目施工框架|湛江供电局变电管理所2020年设备构架日常维修项目招标，具体项目最终以建设单位实际委托为准，在实施过程中如遇项目调整则以建设单位调整后的为准。在下一年度变电站设备构架维修包合同签订之前，变电站设备构架维修包项目仍由中标单位负责，具体以业主委托为准。|199|100|计划开工日期：合同签订生效之日，计划竣工日期：2020年12月20日前完成（具体以开工报告、竣工报告为准）。|200|1"
940;"网页链接|项目编号|序号|标段名称|标段范围|预计金额(万元)|最高投标费率(%)|工期|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252157.jhtml|0002200000066742|1|广东电网有限责任公司湛江供电局变电管理所2020年各变电站建筑物防水补漏日常维修施工框架|湛江供电局变电管理所2020年各变电站建筑物防水补漏日常维修施工|279|100|计划开工日期：合同签订生效之日，计划竣工日期：2020年12月20日前完成（具体以开工报告、竣工报告为准）。|200|1"
941;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额|最高限价|标包号|最大中标包数|工期|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200252138.jhtml|0002200000063477|1|电视会议|电视会议|120|120|1|/|/|200|10000|"
942;"网页链接|项目编号|序号|标的名称|标段编号|标段名称|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252160.jhtml|0002200000067610|1|变电站征地服务|1-1|500kV|250|"
943;"网页链接|项目编号|序号|标的名称|最大中标数量|标段编号|标段名称|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252141.jhtml|0002200000065809|1|电网基建项目竣工环境保护验收|1|1-1|电网基建项目竣工环境保护验收（一）|250|"
944;"网页链接|项目编号|序号|标段名称|标包|预计采购金额(万元)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252161.jhtml|0002200000067531|1|茂名供电局年20kV及以下配网技改、修理项目（B2类项目）监理框架招标|茂名供电局年20kV及以下配网技改、修理项目（B2类项目）监理框架招标|400|200|本项目不收取"
945;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高投标费率(%)|服务期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200252020.jhtml|0002200000068399|1|佛山供电局|1|佛山供电局|46.592|100|合同签订起至完成项目清单中项目的检测、监测工作|佛山供电局|100|不收取|"
946;"网页链接|项目编号|序号|标的名称|最大中标数量|标段编号|标段名称|最高限价|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252043.jhtml|0002200000067913|1|500kV|/|1-1|广西电网公司|是|250|"
947;"网页链接|项目编号|序号|标的|概算金额（万元）|最大中标数量|标包号|标包名称|中标比例|标包金额（万元）|工期|最高限价(万元)|标书费（元）|投标保证金（万元）|是否特殊包|备注";"https://www.bidding.csg.cn//zbgg/1200252040.jhtml|0002200000066052|1|广东电网公司2020年度电网基建工程土地规划调整（含用地预审）框架招标|4000|/|1|广东电网公司2020年度电网基建工程土地规划调整（含用地预审）框架招标|100%|4000|/|/|500|10|否|已参加本项目第一次招标且已缴纳标书费或投标保证金的投标单位，本次不需重复缴纳，但需上传第一次递交时的凭证"
948;"网页链接|项目编号|序号|建设单位|标段名称|最高限价(|工期|标书款（元）|投标保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252063.jhtml|0002200000066116|1|中国南方电网有限责任公司超高压输电公司|云贵互联通道工程配套通信安装施工|有，最高限价随答疑澄清一起提供|详见技术规范书|不收取|1"
949;"网页链接|项目编号|通用资格要求";"https://www.bidding.csg.cn//zbgg/1200252103.jhtml|没有项目编号|序号|内容"
950;"网页链接|项目编号|通用资格要求";"https://www.bidding.csg.cn//zbgg/1200252104.jhtml|没有项目编号|序号|内容"
951;"网页链接|项目编号|通用资格要求";"https://www.bidding.csg.cn//zbgg/1200252105.jhtml|没有项目编号|序号|内容"
952;"网页链接|项目编号|序号|标的名称|标包名称|区域|最高限价( 万元)|最大中标包数|交货期|招标文件收取费用（元）|保证金(元)";"https://www.bidding.csg.cn//zbgg/1200252109.jhtml|0002200000068708|1|标1：Web应用防火墙（WAF）|包1：Web应用防火墙（WAF）|全省需求|WAF（万兆）25万元/套；WAF（千兆）15万元/套|1|以各需求单位订单合同为准|200|60000"
953;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200252095.jhtml|0002200000067729|1|南网建鑫基金管理有限公司|1|南网建鑫基金管理有限公司|有（单价最高限价，详见报价表|1|南方电网资本控股有限公司|不收取|/|本项目有单价最高限价。本次招标针对投标人完成针对单个法律主体财务顾问服务所需费用的报价设定最高限价为人民币"
954;"网页链接|项目编号|标包名称|招标文件收取费用（元）|投标保证金(元)";"https://www.bidding.csg.cn//zbgg/1200251971.jhtml|0002200000068188|广东阳江抽水蓄能电站10kV阳蓄甲、乙线线路运维及改造|不收费|20000"
955;"网页链接|项目编号|序号|标段|中标候选人排序|中标候选人名称|费率（%）|质量|工期|资格能力条件";"https://www.bidding.csg.cn//zbgg/1200251973.jhtml|没有项目编号|1|2020年自建网管道、光缆维护项目-标段2：天河区（第二次招标）|1|广州市紫晶通信科技有限公司|97.50|合格|自合同签订之日起至2020年12月31日|符合"
956;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|投标保证金";"https://www.bidding.csg.cn//zbgg/1200251955.jhtml|0002200000067278|1|计量安全芯片全流程验证平台建设|1|计量安全芯片全流程验证平台建设|153|按照招标人要求提供服务|南方电网科学研究院有限责任公司|不收取|10000"
957;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|投标保证金";"https://www.bidding.csg.cn//zbgg/1200251957.jhtml|0002200000067295|1|电能计量安全芯片测试技术研究及实现|1|电能计量安全芯片测试技术研究及实现|168|按照招标人要求提供服务|南方电网科学研究院有限责任公司|不收取|10000"
958;"网页链接|项目编号|序号|标的名称|标段名称|建设单位|预计采购金额(万元)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200251989.jhtml|0002200000067206|1|江门供电局2020年度110kV-220kV变电站户外设备带电清扫服务框架招标|江门供电局2020年度110kV-220kV变电站户外设备带电清扫服务框架招标|广东电网有限责任公司江门供电局|350|200|/"
959;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额|最高限价|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200251990.jhtml|0002200000068279|1|培评中心医务室常备药品采购项目|培评中心医务室常备药品采购项目|40|100|1|/|/|100|5000|"
960;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额(万元)|最高限价( 万元)|招标文件收取费用（元）|投标保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252001.jhtml|0002200000068547|1|阳江供电局2020年其它电压等级（自动化等主站系统、通信工程等）技改、修理项目（含抢修）可研编制、勘察设计（B2类项目）框架招标|1|阳江供电局2020年其它电压等级（自动化等主站系统、通信工程等）技改、修理项目（含抢修）可研编制、勘察设计（B2类项目）框架招标|180|/|200|/"
961;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金";"https://www.bidding.csg.cn//zbgg/1200252014.jhtml|0002200000060823|1|鼎和财产 保险股份有限公司陕西分公司车险理赔公估服务|1|鼎和财产保险股份有限公司陕西分公司陕西省车险公估服务|155|/|合同签订 后 |鼎和财产保险股份有限公司广陕西分公司|/|10000"
962;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高投标费率%)|招标文件收取费用（元）|保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252024.jhtml|0002200000067102|1|110|1|佛山|232|100|200|本项目不收取|佛山"
963;"网页链接|项目编号|序号|标的|概算金额（万元）|标包号|标包金额（万元）|最高限价(万元)";"https://www.bidding.csg.cn//zbgg/1200251929.jhtml|没有项目编号|1|自建六期通信网络系统建设工程-设计服务框架招标|34.46(含税)|1|34.46(含税)|/"
964;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|投标保证金";"https://www.bidding.csg.cn//zbgg/1200251931.jhtml|0002200000067561|1|2020-2022|1|2020-2022|406|合同签订后|南方电网科学研究院有限责任公司|不收取|30000"
965;"网页链接|项目编号|序号|标的|概算金额（万元）|最大中标数量|标包号|标包名称|中标比例|标包金额（万元）|工期|最高限价(万元)|是否特殊包|招标文件收取费用（元）|投标保证金（元）";"https://www.bidding.csg.cn//zbgg/1200251908.jhtml|0002200000067875|1|广东电网有限责任公司广州供电局2020年职工体检服务项目|900|/|1|标包1|30%|270|自合同签订之日起至2020年12月31日|投标下浮率≥0%|否|/|/"
966;"网页链接|项目编号|标段编号|标段名称|标段预算价|最高限价|工期|项目建设单位|招标文件收取费用（元）|投标保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200251909.jhtml|0002200000066916|1|南沙港铁路建设项目输电线路迁改工程|608.21|608.21|从迁改施工合同签订之日起，至|广东电网有限责任公司广州供电局|不收取|5"
967;"网页链接|项目编号|序号|标的|概算金额（万元）|最大中标数量|标包号|标包名称|标包金额（万元）|工期|最高限价(元)|是否特殊包|招标文件收取费用（元）|投标保证金（元）";"https://www.bidding.csg.cn//zbgg/1200251917.jhtml|0002200000066780|1|2019年输电一所沿海地区110kV及以上线路防风能力评估|340|1|1|2019年输电一所沿海地区110kV及以上线路防风能力评估|340|合同签订之日起至2020年12月30日|500kV双回铁塔为54505.20元/种220kV单回铁塔为16885.80元/种220kV双回铁塔为22101.00元/种110kV双回铁塔为21242.40元/类|否|/|/"
968;"网页链接|项目编号|序号|标的名称|中标数量限制|标段编号|标段名称|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200251947.jhtml|0002200000067917|1|10kV|4|1-1|北海供电局本部及涠洲供电公司|250|"
969;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200251921.jhtml|0002200000063949|1|深圳供电局有限公司|1|深圳供电局有限公司|254|/|详见1.10|深圳供电局有限公司|/|/|"
970;"网页链接|项目编号|标段编号|标段名称|最高限价(|工期|招标文件工本费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200251922.jhtml|0002200000066954|01|深圳抽水蓄能电站上下库连接道路及通风洞口场地周边生态环境提升设计|189.73|合同签订之日起至工程竣工验收完成|不收取|1"
971;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200251964.jhtml|0002200000067051|1|深圳供电局有限公司深圳电网调度运行大数据挖掘与分析功能建设|1|深圳供电局有限公司深圳电网调度运行大数据挖掘与分析功能建设|758.42|/|自合同签订之日起至|/|/|/|无"
972;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额|最高限价|分包序号|最大中标包数|工期|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200251905.jhtml|0002200000065263|1|视频图像监测装置|视频图像监测装置|360|360|1|/|/|200|"
973;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高投标费率（%）|保证金（万元）|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200251872.jhtml|0002200000067315|1|220|1|珠海|1500|100|/|500|无"
974;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额(万元)|最高限价( 万元)|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200251906.jhtml|0002200000067963|1|标示牌等|标示牌|879.0222|879.0222|1|/|/|200|100000|"
975;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|招标文件收取费用（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200251873.jhtml|0002200000067506|1|220|1|肇庆|1500|/|/|500|10"
976;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200251874.jhtml|0002200000067334|1|110|1|惠州惠阳|400|/|/|惠州供电局|200|1"
977;"网页链接|项目编号|序号|标的|概算金额（万元）|标包号|标包金额（万元）|最高限价(万元)";"https://www.bidding.csg.cn//zbgg/1200251880.jhtml|没有项目编号|1|广州番禺至南沙管道使用服务项目|115（含税）|1|115（含税）|115（含税）"
978;"网页链接|项目编号|序号|标的名称|标包编号|标段名称|最大中标数量|工期|项目建设单位|招标文件收取费用（元）|保证金|最高限价";"https://www.bidding.csg.cn//zbgg/1200251925.jhtml|0002200000068213|1|标|01|包|1|自框架协议签订之日起至|云南电网下属单位|200|50000|无"
979;"网页链接|项目编号|序号|标的|概算金额（万元）|标包号|标包金额（万元）|最高限价(万元)";"https://www.bidding.csg.cn//zbgg/1200251926.jhtml|没有项目编号|1|自建六期通信网络系统建设工程-管道、光缆施工工程框架招标|303.92（含税）|1|303.92（含税）|/"
980;"网页链接|项目编号|序号|标的|概算金额（万元）|标包号|标包金额（万元）|最高限价(万元)";"https://www.bidding.csg.cn//zbgg/1200251927.jhtml|没有项目编号|1|自建六期通信网络系统建设工程-监理服务框架招标|25.85(含税)|\|25.85(含税)|\"
981;"网页链接|项目编号|标段编号|标段名称|标段预算价|单价最高限价|工期|招标文件收取费用（元）|保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200252633.jhtml|0002200000067741|1|2020|155.376|5-1010|合同签订之日起至|无|无|"
982;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200252659.jhtml|0002200000066204|1|深圳供电局有限公司计量自动化采集基础数据平台关键技术研究项目招标项目|1|深圳供电局有限公司计量自动化采集基础数据平台关键技术研究项目研究项目|87|87|合同签订之日起至|深圳供电局有限公司计量管理所|/|/|"
983;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|投标保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252708.jhtml|0002200000068529|1|电网基建工程|1|梅州五华|50|/|/|广东电网有限责任公司|100|无"
984;"网页链接|项目编号|序号|标的|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200252699.jhtml|0002200000064073|1|标的9|昆明官渡供电局|1|昆明官渡供电局|100|19.2|满足招标人要求|云南电网有限责任公司昆明供电局|600|10000|"
985;"网页链接|项目编号|序号|标的名称|标的编号|标包编号|标包名称|中标人数量|招标文件（电子文件）工本费（元）|项目投标保证金（万元）|备注";"https://www.bidding.csg.cn//zbgg/1200252752.jhtml|0002200000069111|1|220kV交流钢管塔|1|1-1|220kV交流钢管塔|1|200|2|在投标文件中需提供通过最新一轮资格预审的证明材料。"
986;"网页链接|项目编号|采购代理机构：|广州竣盛工程造价咨询事务所有限公司";"https://www.bidding.csg.cn//zbgg/1200252775.jhtml|没有项目编号|地址： |广州市越秀区寺右一马路2 号大院2 号楼6 层"
987;"网页链接|项目编号|序号|标的名称|标包号|标包名称|标包金额（万元）|标书费（元）|保证金（元）";"https://www.bidding.csg.cn//zbgg/1200252861.jhtml|0002200000067511|1|110千伏电网基建工程|1|肇庆110千伏永安2输变电工程|300|200|/"
988;"网页链接|项目编号|标段|预计采购金额（万元）|最大中标数量|标段名称|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252898.jhtml|0002200000066674|标段1|177.93|1|揭阳榕城供电局2020年基建中低压配电网项目监理|200|1"
989;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价(|工期|项目建设单位|招标文件收取费用（元）|投标保证金(|备注";"https://www.bidding.csg.cn//zbgg/1200252945.jhtml|0002200000067985|1|智能电表操作系统可靠性评价测试技术研究|1|智能电表操作系统可靠性技术评价测试研究|168|自合同签订之日起至2021|南方电网数字电网研究院有限公司|不收取|不收取|无"
990;"网页链接|项目编号|序号|标段名称|建设单位|发包预算价(万元)|最高投标费率(%)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200252990.jhtml|0002200000068062|1|1.|中山、珠海、河源、梅州、汕头、揭阳、潮州、汕尾、清远、韶关|3728.43|100|500|10"
991;"网页链接|项目编号|序号|项目名称|标段|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200253011.jhtml|0002200000065921|1|广东电网有限责任公司云浮供电局|标段|云浮云城、云安供电局|225|200|1"
992;"网页链接|项目编号|序号|项目名称|标段号|标段名称|区域|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200253036.jhtml|0002200000065781|1|广东电网有限责任公司韶关供电局2020年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|韶关南部区域2020年中低压配电网基建项目前期[可研-勘察设计]捆绑招标|韶关曲江供电局、韶关翁源供电局、韶关新丰供电局|285|200|1"
993;"网页链接|项目编号|开标地点|原内容|调整后内容";"https://www.bidding.csg.cn//zbgg/1200253058.jhtml|没有项目编号|开标地点：广州市越秀区寺右一马路2号大院2号楼6层 评标一室（珠江宾馆内）|开标地点：广州市越秀区寺右一马路2号大院2号楼4层 419多功能会议室（珠江宾馆内）"
994;"网页链接|项目编号|序号|成果|数量";"https://www.bidding.csg.cn//zbgg/1200253146.jhtml|0002200000068353|1|输变电建设项目全过程工程咨询管理制度|1套"
995;"网页链接|项目编号|标段|标段名称|最大中标数量|项目总投资（万元）|最高限价（万元）|标书费（元）|投标保证金（元）";"https://www.bidding.csg.cn//zbgg/1200253134.jhtml|0002200000067239|1|江门110千伏元山站扩建第三台主变工程、110kV元山变电站综合改造工程施工||2163.99|809.03|200|100000"
996;"网页链接|项目编号|标段|标段名称|最大中标数量|项目总投资（万元）|最高限价（万元）|标书费（元）|投标保证金（元）";"https://www.bidding.csg.cn//zbgg/1200253169.jhtml|0002200000067687|标段1|佛山110千伏合水站扩建第三台主变及配套线路工程、佛山110千伏五沙站扩建第三台主变工程施工|1|3220.89|599.05|200|100000"
997;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|服务期限|项目建设单位|招标文件收取费用（元）|投标保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200253219.jhtml|0002200000066797|1|佛山供电局电网警务室设立管理项目|1|南海片区|69.5|69.5|自合同签订之日起|广东电网有限责任公司佛山供电局|100|本项目不收取投标保证金"
998;"网页链接|项目编号|序号|标段名称|估算金额|最高限价|工期|项目建设单位|投标保证金（元）|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200253230.jhtml|0006200000065958|1|2019|56|56|自合同签订之日起|广东电网有限责任公司计量中心|无|100|"
999;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额(万元)|最高限价(万元)|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200253201.jhtml|0002200000069283|1|数字式电能计量检测系统|数字式电能计量检测系统|59.95|59.95|01|/|/|100|10000|"
1000;"网页链接|项目编号|序号|标的名称|标的编号|标包名称|标包编号（标包号）|标包金额（万元）|最高限价(万元)|招标文件（电子文件）工本费（元）|项目投标保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200253250.jhtml|0002200000066457|1|本部行政服务人员业务外包项目|1|本部行政服务人员业务外包项目|1-1|500|500|200|5"
1001;"网页链接|项目编号|标的名称|标包名称|预测金额（万元）|配送范围|配送要求|中标比例|招标文件收取费用（元）|保证金（万元）|备注";"https://www.bidding.csg.cn//zbgg/1200253263.jhtml|0002200000068016|广东电网物资有限公司|标包一|900|始发点：广东省内；目的地：广东省内|1、紧急配送是指甲方为了应对事故抢修、救灾抢险、紧急补货等突发情况，提出运输要求后需要乙方立即组织开展的配送，在2、除紧急配送外的运输要求为计划配送。|100%|200|10|框架合同自签订合同之日起一年有效"
1002;"网页链接|项目编号|序号|标段名称|建设单位|发包预算价(万元)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200253264.jhtml|0002200000069387|1|佛山供电局南庄仓库穿梭车自动化立体仓库系统项目|广东电网有限责任公司佛山供电局|1032.0072|500|不收取投标保证金"
1003;"网页链接|项目编号|序号|标段名称|建设单位|估算金额（万元）|最高投标费率（%）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200253265.jhtml|0002200000068909|1|茂名供电局2020年营销项目监理框架招标|广东电网有限责任公司茂名供电局|50|100|100|0"
1004;"网页链接|项目编号|标的编号|标的名称|分包序号|计量单位|预估数量|预算金额（万元）|中标比例（％）|资格预审对应品类名称|招标文件售价（元）|投标保证金(万元）|备注";"https://www.bidding.csg.cn//zbgg/1200253257.jhtml|0002200000068247|1|10kV电站避雷器|1|只|871|49.84 |100|10kV 交流避雷器|100|不收取|"
1005;"网页链接|项目编号|标的编号|标的名称|标包编号|标包名称|预估数量|计量单位|预算金额（万元）|中标比例％|最大中标数量|资格预审品类|履约评价品类|运行评价品类|招标文件收取费用（元）|保证金(元)|最高限价（元）|备注";"https://www.bidding.csg.cn//zbgg/1200253271.jhtml|0002200000068390|1|计量封印|1-1|标包1|3881452|粒|371.54|55：45|限中一个比例|/|计量封印|/|200|/|/|"
1006;"网页链接|项目编号|通用资格要求";"https://www.bidding.csg.cn//zbgg/1200253184.jhtml|没有项目编号|序号|内容"
1007;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200253185.jhtml|0002200000068631|1|标|包|标|项目竣工投产后三个月内|昭通供电局|200|10000|"
1008;"网页链接|项目编号|序号|标的名称|标段编号|标段名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200253187.jhtml|0002200000069011|1|标|1|包|135.4375|详见采购项目一览表中的要求|怒江、曲靖|200|10000|"
1009;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200253174.jhtml|0002200000066316|1|丽江供电局变电修试所|2|丽江供电局新城等变电站|25.08|/|丽江供电局|100|2500|/"
